station_name,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Clark St & Schiller St,41.907993,-87.631501,102.0,36.0,-1.0,-41.0,7.0,-226.0,-544.0,-972.0,-1081.0,-582.0,-226.0,-250.0,-68.0,-76.0,23.0,135.0,260.0,1207.0,401.0,166.0,169.0,245.0,194.0,94.0
Clark St & Waveland Ave,41.95078,-87.659172,-21.0,-22.0,-8.0,-10.0,0.0,-2.0,-16.0,-37.0,-39.0,-19.0,9.0,33.0,86.0,107.0,3.0,-9.0,-112.0,26.0,79.0,28.0,4.0,-34.0,-99.0,-30.0
Clark St & Wellington Ave,41.9364968219,-87.6475386582,-12.0,-10.0,-3.0,-9.0,8.0,0.0,-196.0,-256.0,-359.0,-120.0,-74.0,-93.0,-40.0,30.0,-8.0,84.0,127.0,569.0,198.0,151.0,102.0,83.0,84.0,44.0
Clark St & Winnemac Ave,41.973385,-87.668365,-9.0,11.0,6.0,8.0,5.0,-7.0,-66.0,-238.0,-73.0,-105.0,-23.0,-33.0,6.0,-26.0,25.0,29.0,124.0,301.0,309.0,304.0,158.0,47.0,-36.0,-17.0
Clark St & Wrightwood Ave,41.929546,-87.643118,40.0,31.0,-10.0,8.0,-11.0,-66.0,-275.0,-605.0,-350.0,-214.0,-148.0,-78.0,-30.0,-32.0,2.0,173.0,373.0,541.0,365.0,125.0,138.0,63.0,114.0,83.0
Clifton Ave & Armitage Ave,41.918216,-87.656936,6.0,-34.0,9.0,1.0,4.0,-88.0,-152.0,-166.0,-22.0,-146.0,-66.0,38.0,9.0,24.0,-87.0,22.0,-12.0,244.0,183.0,24.0,65.0,15.0,31.0,12.0
Clifton Ave & Lawrence Ave,41.968873,-87.658857,-10.0,-24.0,-2.0,-8.0,3.0,3.0,4.0,19.0,137.0,17.0,-11.0,-15.0,-64.0,-9.0,-28.0,-5.0,1.0,-5.0,-10.0,74.0,50.0,17.0,-60.0,-90.0
Clinton St & 18th St,41.85795,-87.640826,5.0,9.0,0.0,-1.0,-11.0,-15.0,-38.0,-20.0,-38.0,-85.0,-140.0,-58.0,-19.0,30.0,-19.0,6.0,-2.0,140.0,146.0,83.0,8.0,39.0,30.0,31.0
Clinton St & Lake St,41.8858327415,-87.6413823149,36.0,13.0,5.0,-17.0,-63.0,-88.0,-235.0,-735.0,-438.0,-12.0,-231.0,-205.0,-151.0,71.0,44.0,54.0,271.0,-129.0,-293.0,165.0,167.0,199.0,196.0,62.0
Clinton St & Madison St,41.882242,-87.641066,51.0,6.0,4.0,20.0,61.0,185.0,-76.0,-1161.0,-1096.0,-417.0,-273.0,35.0,153.0,205.0,-150.0,182.0,356.0,-236.0,-266.0,-171.0,130.0,168.0,293.0,137.0
Clinton St & Roosevelt Rd,41.8671177825,-87.6410879593,-8.0,2.0,-3.0,3.0,8.0,27.0,51.0,48.0,186.0,88.0,128.0,196.0,152.0,42.0,-42.0,29.0,87.0,300.0,-110.0,-77.0,-128.0,-153.0,-34.0,-55.0
Clinton St & Tilden St,41.875885,-87.640795,15.0,1.0,13.0,-2.0,-48.0,-1.0,10.0,12.0,-129.0,60.0,-111.0,-109.0,-104.0,143.0,33.0,-119.0,-310.0,-40.0,39.0,20.0,49.0,63.0,50.0,22.0
Clinton St & Washington Blvd,41.88338,-87.64117,38.0,13.0,5.0,0.0,10.0,107.0,-2462.0,-6186.0,-4602.0,-1532.0,-441.0,-333.0,82.0,154.0,246.0,2583.0,6363.0,6070.0,793.0,346.0,250.0,125.0,70.0,57.0
Clybourn Ave & Division St,41.904509,-87.6405,17.0,12.0,4.0,8.0,76.0,4.0,-64.0,-111.0,-438.0,-220.0,-71.0,-64.0,-101.0,15.0,51.0,99.0,87.0,203.0,132.0,99.0,148.0,61.0,55.0,46.0
Columbus Dr & Randolph St,41.884728,-87.619521,15.0,33.0,22.0,-10.0,-6.0,228.0,531.0,657.0,1206.0,123.0,-374.0,-769.0,-492.0,-297.0,-736.0,-1611.0,-3731.0,-2473.0,-711.0,-147.0,-11.0,-5.0,-21.0,50.0
Cottage Grove Ave & 43rd St,41.816499,-87.606582,4.0,2.0,3.0,0.0,1.0,-1.0,-5.0,-20.0,-27.0,-29.0,-15.0,2.0,-5.0,-11.0,13.0,-5.0,-10.0,5.0,25.0,8.0,17.0,13.0,8.0,6.0
Cottage Grove Ave & 47th St,41.809855,-87.606755,5.0,7.0,1.0,2.0,-2.0,0.0,-4.0,-7.0,-19.0,-18.0,-7.0,-5.0,5.0,-2.0,5.0,-6.0,4.0,3.0,25.0,27.0,11.0,16.0,12.0,11.0
Cottage Grove Ave & 51st St,41.803038,-87.606615,1.0,1.0,1.0,-1.0,2.0,-1.0,-6.0,-4.0,-4.0,1.0,-10.0,-5.0,-7.0,-2.0,10.0,-23.0,1.0,-13.0,9.0,7.0,10.0,6.0,0.0,-1.0
Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,5.0,-4.0,-1.0,0.0,-2.0,5.0,-6.0,4.0,-37.0,-29.0,-15.0,20.0,-6.0,-4.0,-15.0,12.0,-5.0,12.0,47.0,24.0,28.0,20.0,4.0,-5.0
Daley Center Plaza,41.884451,-87.629892,2.0,-32.0,5.0,161.0,22.0,67.0,136.0,545.0,2838.0,1264.0,217.0,-2.0,-94.0,-8.0,-207.0,-343.0,-1551.0,-3590.0,-974.0,-264.0,-180.0,-153.0,-121.0,-14.0
Damen Ave & Augusta Blvd,41.899714,-87.677234,43.0,39.0,10.0,11.0,2.0,-54.0,-287.0,-519.0,-724.0,-424.0,-230.0,-186.0,-78.0,-62.0,13.0,52.0,397.0,786.0,394.0,231.0,240.0,154.0,145.0,88.0
Damen Ave & Charleston St,41.920082,-87.677855,14.0,11.0,12.0,-4.0,-9.0,-32.0,-113.0,-227.0,-215.0,-64.0,-3.0,-75.0,-33.0,-78.0,-13.0,49.0,193.0,170.0,185.0,76.0,54.0,72.0,96.0,53.0
